pan max
pan_gene_11871 2
pan_gene_11877 2
pan_gene_11880 2
pan_gene_11883 2
pan_gene_11890 2
pan_gene_11894 2
pan_gene_11899 2
pan_gene_1190 2
pan_gene_11903 2
pan_gene_11906 2
pan_gene_11909 2
pan_gene_11911 2
pan_gene_11916 2
pan_gene_11917 3
pan_gene_11925 2
pan_gene_11927 2
pan_gene_11930 2
pan_gene_11934 2
pan_gene_11936 2
pan_gene_11942 2
pan_gene_11955 2
pan_gene_11960 4
pan_gene_11969 2
pan_gene_11974 2
pan_gene_11975 2
pan_gene_1198 2
pan_gene_11981 2
pan_gene_11985 2
pan_gene_11986 2
pan_gene_11987 2
pan_gene_11989 2
pan_gene_11994 2
pan_gene_11995 2
pan_gene_11996 3
pan_gene_12001 2
pan_gene_12003 2
pan_gene_12007 2
pan_gene_12009 2
pan_gene_1201 2
pan_gene_12011 2
pan_gene_12020 2
pan_gene_12022 3
pan_gene_12027 2
pan_gene_12035 2
pan_gene_12038 2
pan_gene_1204 2
pan_gene_12044 2
pan_gene_12047 2
pan_gene_12054 2
pan_gene_12056 2
pan_gene_12062 2
pan_gene_12078 2
pan_gene_12079 2
pan_gene_1208 2
pan_gene_12081 2
pan_gene_12086 2
pan_gene_12088 2
pan_gene_12089 2
pan_gene_1210 4
pan_gene_12109 2
pan_gene_12121 2
pan_gene_12124 2
pan_gene_12140 2
pan_gene_12142 2
pan_gene_12144 3
pan_gene_12148 2
pan_gene_12150 2
pan_gene_12151 2
pan_gene_12152 2
pan_gene_12153 2
pan_gene_12154 2
pan_gene_12166 3
pan_gene_12173 2
pan_gene_12174 2
pan_gene_12176 2
pan_gene_12194 2
pan_gene_12196 5
pan_gene_122 2
pan_gene_12200 2
pan_gene_12204 2
pan_gene_1221 3
pan_gene_12210 2
pan_gene_12213 2
pan_gene_12214 2
pan_gene_12217 3
pan_gene_12219 2
pan_gene_12222 4
pan_gene_12232 3
pan_gene_12233 3
pan_gene_12237 3
pan_gene_12242 2
pan_gene_1225 2
pan_gene_12250 2
pan_gene_12261 2
pan_gene_12264 2
pan_gene_12266 2
pan_gene_12270 2
pan_gene_12279 2
pan_gene_12287 2
pan_gene_12288 2
pan_gene_12289 2
pan_gene_123 4
pan_gene_12300 2
pan_gene_12312 2
pan_gene_12315 2
pan_gene_1232 2
pan_gene_12330 2
pan_gene_12333 2
pan_gene_12338 2
pan_gene_12344 2
pan_gene_12347 2
pan_gene_12348 2
pan_gene_12350 2
pan_gene_12351 2
pan_gene_12353 2
pan_gene_12354 2
pan_gene_12356 2
pan_gene_12362 2
pan_gene_12365 2
pan_gene_12366 2
pan_gene_12368 6
pan_gene_12373 2
pan_gene_12375 2
pan_gene_12376 2
pan_gene_12382 2
pan_gene_12387 2
pan_gene_1239 2
pan_gene_12393 3
pan_gene_124 2
pan_gene_12402 2
pan_gene_12411 3
pan_gene_12412 2
pan_gene_12416 3
pan_gene_1242 2
pan_gene_12420 2
pan_gene_12424 2
pan_gene_12432 2
pan_gene_12433 2
pan_gene_12434 2
pan_gene_12441 2
pan_gene_12446 2
pan_gene_12447 2
pan_gene_12448 2
pan_gene_12455 2
pan_gene_12467 2
pan_gene_12469 2
pan_gene_12472 2
pan_gene_12477 2
pan_gene_12479 2
pan_gene_12481 2
pan_gene_12483 2
pan_gene_12488 5
pan_gene_12489 4
pan_gene_1249 2
pan_gene_12490 2
pan_gene_12492 2
pan_gene_12495 2
pan_gene_12497 2
pan_gene_125 2
pan_gene_12500 2
pan_gene_12501 2
pan_gene_12502 2
pan_gene_12512 2
pan_gene_12515 3
pan_gene_12516 2
pan_gene_12518 3
pan_gene_12519 2
pan_gene_12522 2
pan_gene_12525 2
pan_gene_12536 2
pan_gene_12539 2
pan_gene_12544 2
