pan max
pan_gene_11083 1
pan_gene_11086 1
pan_gene_11087 1
pan_gene_11089 1
pan_gene_1109 1
pan_gene_11093 1
pan_gene_11094 1
pan_gene_11096 1
pan_gene_11097 1
pan_gene_1110 1
pan_gene_11100 1
pan_gene_11101 1
pan_gene_11102 1
pan_gene_11103 1
pan_gene_11104 1
pan_gene_11107 1
pan_gene_11108 1
pan_gene_11109 1
pan_gene_1111 1
pan_gene_11111 1
pan_gene_11112 1
pan_gene_11113 1
pan_gene_11114 1
pan_gene_11116 1
pan_gene_11119 1
pan_gene_1112 1
pan_gene_11120 1
pan_gene_11121 1
pan_gene_11123 1
pan_gene_11126 1
pan_gene_11127 1
pan_gene_11128 1
pan_gene_11129 1
pan_gene_11130 1
pan_gene_11132 1
pan_gene_11135 1
pan_gene_11138 1
pan_gene_11139 1
pan_gene_1114 1
pan_gene_11140 1
pan_gene_11141 1
pan_gene_11142 1
pan_gene_11143 1
pan_gene_11145 1
pan_gene_11148 1
pan_gene_11150 1
pan_gene_11151 1
pan_gene_11152 1
pan_gene_11157 1
pan_gene_11158 1
pan_gene_11159 1
pan_gene_11160 1
pan_gene_11162 1
pan_gene_11164 1
pan_gene_11165 1
pan_gene_11166 1
pan_gene_11168 1
pan_gene_11169 1
pan_gene_11170 1
pan_gene_11172 1
pan_gene_11175 1
pan_gene_11176 1
pan_gene_11177 1
pan_gene_11178 1
pan_gene_11182 1
pan_gene_11183 1
pan_gene_11185 1
pan_gene_11188 1
pan_gene_11189 1
pan_gene_1119 1
pan_gene_11190 1
pan_gene_11191 1
pan_gene_11192 1
pan_gene_11193 1
pan_gene_11194 1
pan_gene_11196 1
pan_gene_11199 1
pan_gene_11201 1
pan_gene_11202 1
pan_gene_11204 1
pan_gene_11205 1
pan_gene_11206 1
pan_gene_11207 1
pan_gene_11208 1
pan_gene_11209 1
pan_gene_11210 1
pan_gene_11212 1
pan_gene_11217 1
pan_gene_11218 1
pan_gene_11219 1
pan_gene_1122 1
pan_gene_11221 1
pan_gene_11222 1
pan_gene_11223 1
pan_gene_11224 1
pan_gene_11226 1
