pan max
pan_gene_5248 4
pan_gene_5287 3
pan_gene_5320 5
pan_gene_53381 4
pan_gene_5349 3
pan_gene_5393 4
pan_gene_54088 4
pan_gene_5410 3
pan_gene_54230 7
pan_gene_5424 3
pan_gene_5434 2
pan_gene_54640 3
pan_gene_5468 2
pan_gene_5498 3
pan_gene_5500 2
pan_gene_55203 4
pan_gene_5535 3
pan_gene_5540 3
pan_gene_5541 2
pan_gene_5595 3
pan_gene_5598 2
pan_gene_5601 2
pan_gene_56029 3
pan_gene_5617 2
pan_gene_56263 8
pan_gene_5642 2
pan_gene_567 18
pan_gene_5676 4
pan_gene_56864 8
pan_gene_5690 3
pan_gene_5701 4
pan_gene_5734 2
pan_gene_5739 11
pan_gene_57490 6
pan_gene_5782 3
pan_gene_5793 2
pan_gene_58037 8
pan_gene_58159 5
pan_gene_5823 3
pan_gene_5852 2
pan_gene_58788 4
pan_gene_5891 2
pan_gene_5896 4
pan_gene_5925 7
pan_gene_5926 5
pan_gene_5944 10
pan_gene_59606 7
pan_gene_6024 4
pan_gene_60278 11
pan_gene_6035 7
pan_gene_60425 6
pan_gene_60701 5
pan_gene_6088 3
pan_gene_6109 6
pan_gene_6114 3
pan_gene_61157 38
pan_gene_61197 7
pan_gene_6122 2
pan_gene_61258 11
pan_gene_6142 4
pan_gene_619 4
pan_gene_62168 4
pan_gene_62184 5
pan_gene_62340 5
pan_gene_625 2
pan_gene_6274 3
pan_gene_6294 3
pan_gene_62942 147
pan_gene_631 4
pan_gene_6365 2
pan_gene_6369 3
pan_gene_6374 5
pan_gene_6376 3
pan_gene_6393 2
pan_gene_64146 13
pan_gene_6423 6
pan_gene_6428 4
pan_gene_6471 2
pan_gene_6488 4
pan_gene_6599 5
pan_gene_66536 4
pan_gene_66797 6
pan_gene_67611 3
pan_gene_6764 3
pan_gene_67735 6
pan_gene_67936 25
pan_gene_6807 3
pan_gene_6828 6
pan_gene_68555 6
pan_gene_68643 4
pan_gene_68792 7
pan_gene_6880 3
pan_gene_69038 20
pan_gene_6912 17
pan_gene_696 2
pan_gene_69718 13
pan_gene_6984 3
pan_gene_7068 2
pan_gene_71267 3
pan_gene_71378 28
pan_gene_72134 7
pan_gene_72201 4
pan_gene_7222 3
pan_gene_7249 3
pan_gene_72622 7
pan_gene_7265 3
pan_gene_73850 4
pan_gene_7390 3
pan_gene_74316 12
pan_gene_7462 4
pan_gene_74701 2
pan_gene_74724 2
pan_gene_7489 7
pan_gene_749 4
pan_gene_75084 8
pan_gene_7516 3
pan_gene_7526 2
pan_gene_7545 4
pan_gene_7562 4
pan_gene_7563 2
pan_gene_7584 2
pan_gene_768 4
pan_gene_76905 9
pan_gene_7696 3
pan_gene_770 3
pan_gene_7702 4
pan_gene_7723 3
pan_gene_7724 2
pan_gene_77500 65
pan_gene_783 2
pan_gene_7837 3
pan_gene_78502 30
pan_gene_78562 4
pan_gene_78819 2
pan_gene_78920 3
pan_gene_7912 4
pan_gene_7937 3
pan_gene_7942 4
pan_gene_79473 16
pan_gene_7957 4
pan_gene_7969 3
pan_gene_80152 6
pan_gene_8083 3
pan_gene_811 3
pan_gene_8114 6
pan_gene_81476 3
pan_gene_81864 19
pan_gene_81886 3
pan_gene_82347 8
pan_gene_8254 4
pan_gene_8264 3
pan_gene_82682 7
pan_gene_82701 7
pan_gene_8324 3
pan_gene_8358 3
pan_gene_84777 5
pan_gene_85094 6
pan_gene_85565 5
pan_gene_8560 7
pan_gene_85933 14
pan_gene_8635 15
pan_gene_865 4
pan_gene_8657 7
pan_gene_8719 2
pan_gene_872 2
pan_gene_8725 2
pan_gene_8747 3
pan_gene_879 3
pan_gene_8796 2
pan_gene_8837 3
pan_gene_8940 2
pan_gene_8987 5
pan_gene_89925 3
pan_gene_8999 3
pan_gene_9010 3
pan_gene_9033 2
pan_gene_90422 7
pan_gene_9050 5
pan_gene_90634 5
pan_gene_90695 19
pan_gene_911 2
pan_gene_91348 19
pan_gene_9211 3
pan_gene_924 7
pan_gene_9262 2
pan_gene_9285 4
pan_gene_93199 9
pan_gene_9322 30
pan_gene_9329 5
pan_gene_93404 32
pan_gene_9371 4
pan_gene_9386 10
pan_gene_9393 3
pan_gene_9394 8
pan_gene_93959 7
pan_gene_9401 5
pan_gene_94359 9
pan_gene_9438 4
pan_gene_9449 3
pan_gene_94533 6
pan_gene_9455 9
pan_gene_95235 4
pan_gene_9539 6
pan_gene_9564 3
pan_gene_9604 2
pan_gene_9710 5
pan_gene_97298 8
pan_gene_974 3
pan_gene_97426 4
pan_gene_9769 3
pan_gene_9787 2
pan_gene_9808 3
pan_gene_9819 2
pan_gene_9849 3
pan_gene_9861 4
pan_gene_98828 10
pan_gene_98994 10
pan_gene_9908 2
pan_gene_9919 2
