pan,B73,B97,CML103,CML322,CML69,HP301,Il14H,Ki11,Ki3,Ky21,M37W,Mo18W,Ms71,NC350,NC358,Oh43,Oh7B,P39,Tx303,Tzi8
pan_gene_19061,2.16646,3.48654,2.74964,2.73801,3.08988,2.8829,1.75891,2.81262,1.17468,2.45878,1.34059,2.62081,2.95561,1.84348,2.66733,2.43975,3.51891,2.89483,1.41463,2.73269
pan_gene_19063,0.0577215,0,0,0,0.0837642,0,0.0894959,0.107268,0,0,2.66255,0.047416,0,0,0,0,0.838259,0,1.44442,0
pan_gene_19064,21.7998,20.959,17.6937,22.9073,25.9532,17.242,34.4405,26.3514,23.3537,15.5357,34.1219,16.1845,20.8793,22.0512,16.0322,11.5088,13.3444,17.6189,14.8582,21.9326
pan_gene_19065,26.5557,53.3823,67.0943,51.422,32.835,50.7743,42.8113,41.6186,30.1669,36.8751,32.6834,37.555,25.3525,33.0085,25.2594,49.22,39.5655,25.6677,35.5577,NA
pan_gene_19066,0,0.0394748,0.0343691,0,0,0,NA,0.116221,0,NA,0,0,0.0260082,0,0,0,0,0,0.366111,0
pan_gene_19067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_19068,2.02011,0.49983,1.54189,1.03979,NA,1.02812,0.895391,4.34894,1.49476,NA,1.63319,NA,2.47706,2.05518,1.91667,1.22844,1.20164,1.5341,2.73451,0.438665
pan_gene_19069,46.5005,53.7769,54.9905,37.7012,43.6369,29.961,71.9397,62.3265,44.0911,54.6691,54.4885,54.8506,36.0736,36.3074,42.259,46.0569,30.5591,33.0439,92.6362,31.2808
pan_gene_1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_19070,33.5425,41.4976,27.4446,27.9077,NA,25.614,NA,52.9554,32.6219,27.6023,42.684,27.3287,24.5222,30.8226,36.6566,28.448,27.9585,28.0542,41.1617,37.5093
pan_gene_19071,11.6679,12.532,10.6721,12.3824,10.2135,11.4939,9.59631,13.6238,10.8757,5.09656,10.7413,12.2694,10.2309,14.6448,15.0419,7.61637,13.6428,9.86764,7.90451,8.43215
pan_gene_19072,33.7521,37.2812,35.8583,33.1669,35.2982,30.2562,32.621,35.3193,30.2511,28.2376,36.8802,34.6018,27.1514,32.4939,30.8221,28.5639,38.8449,24.3879,29.6579,34.8144
pan_gene_19074,2.06311,3.14485,3.63162,NA,NA,2.46951,NA,NA,NA,NA,NA,2.20413,1.96323,NA,NA,NA,NA,NA,2.5003,NA
pan_gene_19075,0.105102,0.141489,0.74514,0.103143,0.187672,0.257508,NA,0.546661,0.157845,0.32174,NA,0.259057,0.152532,0.141291,0.242311,0.223379,0.337732,NA,0.107358,0.327148
pan_gene_19076,0.253493,0.331749,0.811084,1.03233,NA,0.486145,NA,NA,0.469695,1.40824,0.836466,2.12717,0.333943,0.665021,0.838065,1.11767,NA,0.562536,1.71892,1.00803
pan_gene_19077,67.7483,77.404,56.3038,62.9821,82.8374,45.3882,80.389,74.1973,66.0536,39.8205,72.867,50.5166,60.6367,58.3867,70.1825,42.8218,49.9873,70.2556,65.0749,67.6864
pan_gene_19080,0,0,0,0,0,0.0439714,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0
pan_gene_19081,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.225479,0,0.185815,0.202995
pan_gene_19082,1.45552,2.06371,1.06935,NA,27.0592,15.174,16.659,7.98816,19.0228,0.52714,59.6093,11.8332,1.20619,NA,4.97283,0.950828,9.51782,1.6394,1.94291,12.2903
pan_gene_19083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_19084,6.22836,6.60051,NA,3.71944,NA,5.05037,5.59259,8.36969,3.31809,NA,NA,5.06396,4.37987,4.39106,6.07878,10.3099,4.95611,4.1558,4.58774,4.26024
pan_gene_19085,29.353,39.2647,22.5792,29.9927,38.9578,36.7686,35.4077,32.8814,30.0662,26.7724,43.2904,30.407,33.762,30.4485,35.7933,24.0425,21.5158,25.5334,31.5272,31.2713
pan_gene_19086,NA,NA,NA,NA,NA,NA,NA,NA,5.79857,NA,NA,NA,NA,NA,13.2832,NA,NA,NA,NA,NA
pan_gene_19087,24.4034,32.287,33.7732,30.4447,34.4283,40.6011,32.5981,38.1869,31.9403,29.1276,25.7913,31.8371,20.4422,35.0563,31.223,27.9447,33.9674,26.357,20.6646,35.7011
pan_gene_19088,5.4162,10.2114,4.94955,9.9004,5.90513,5.44116,8.59781,14.1551,6.01676,2.88273,NA,7.0652,7.41741,6.86177,8.19237,5.56277,4.23175,12.6177,7.06902,4.58476
pan_gene_19089,3.86245,0.411176,5.85482,1.26942,2.7656,18.422,1.12882,NA,0,12.3083,21.356,12.126,6.95847,1.38285,NA,0.738288,1.71155,0.838399,1.95351,3.87738
pan_gene_19090,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_19091,7.1956,7.031,NA,9.95118,9.12553,5.59801,6.98917,10.8942,8.50541,5.98914,10.8663,9.18419,5.59116,10.4484,8.91282,6.9775,9.2703,5.48849,7.23584,9.24601
pan_gene_19093,0.960009,4.25458,1.47355,1.45151,0.848992,1.64333,1.28378,1.19822,0.32859,1.01929,3.54579,0.314689,1.78547,0.84586,1.17835,6.28359,4.35918,0.880375,5.89269,1.42846
pan_gene_19094,0.205891,0.244374,0.608047,1.70846,0.434987,0.042552,0.0861551,5.27906,0.128288,3.50275,0.436001,0.932568,0.194489,3.87184,4.60218,1.01228,0.255111,2.79277,0.584823,0.265893
pan_gene_19095,NA,0.192111,0,0.324439,0,0,0.114054,0,0,0.717298,0.161071,0,0.258164,0.0256213,0.0928436,NA,0.0863766,0.300582,0.170402,NA
pan_gene_19096,31.6863,31.5029,9.60947,9.80736,14.0812,7.8367,35.4362,19.1743,27.3735,6.04096,24.0458,7.97296,92.2284,7.52719,NA,NA,13.3788,12.6532,10.0761,139.515
pan_gene_19097,48.2766,41.1268,50.9394,23.8421,30.8818,27.8102,25.7738,37.7924,11.0586,38.786,28.7367,16.5896,20.5736,22.4999,20.2335,35.3026,22.0877,21.5939,19.3993,14.0637
pan_gene_19098,11.5597,9.46916,12.7099,10.0639,NA,11.6106,8.48238,11.7387,6.74405,10.5303,8.05992,9.4793,10.6233,7.32172,11.0582,9.62278,10.1997,8.0818,8.76381,8.15919
pan_gene_191,0,0.0367871,NA,NA,NA,0,NA,NA,0,0,1.50706,0.0577103,0,0,NA,0.0234364,0.390538,0.0323438,0.344776,0.0379878
pan_gene_1910,178.239,138.413,133.794,188.441,119.755,158.336,166.563,211.266,202.18,106.871,78.2185,93.2028,103.575,149.749,154.906,101.698,189.8,122.661,223.316,95.6914
pan_gene_19101,5.8411,5.86445,10.4425,8.74163,4.97392,7.75802,5.77266,7.06865,6.87011,6.92274,5.99598,8.19298,9.90845,8.03371,8.89713,11.2292,8.60485,8.02549,7.28548,5.39899
pan_gene_19104,7.35102,12.4019,13.6115,8.27025,8.5129,13.1642,6.961,9.25653,7.72374,9.09285,26.7164,30.8944,8.42476,9.83033,11.2404,9.67386,10.8058,6.6924,6.20373,10.5772
pan_gene_19105,92.3503,87.278,51.8905,NA,85.0394,39.8589,83.4374,90.2076,76.4821,46.309,NA,NA,19.8364,NA,100.085,26.2829,37.2487,79.6705,45.9324,92.1403
pan_gene_19106,NA,0.160787,0,0.0777621,0,0.449726,0.0761761,0.196434,0,0.198866,0.0922004,0.0882159,0,0.0130221,0.0739108,0.0994369,0.189685,0,0.0420196,0.0452351
pan_gene_19107,13.5528,16.7418,19.6277,14.3318,14.8815,19.5378,11.0053,19.4936,12.5064,18.3164,12.0219,16.6031,13.695,15.6409,18.5649,17.2957,16.0917,9.22694,10.5298,14.4028
pan_gene_19108,24.2275,20.3614,36.9673,38.6361,23.8667,21.5956,22.021,17.1823,15.2791,38.5518,19.8395,19.6334,30.3684,22.6145,34.1545,79.5887,28.4689,49.7181,31.4665,13.8011
pan_gene_19109,0.0930058,0.412894,0.308701,3.83612,0.623621,0.352758,0.15096,0,0,NA,0.24026,0.379328,0.228561,0.386015,0.342394,0.0328649,0.139757,0.150812,0,0.684306
pan_gene_1911,208.876,106.787,NA,233.256,263.271,207.787,225.538,159.298,229.813,134.588,152.907,257.62,308.461,181.257,118.778,162.713,190.79,125.11,255.845,148.188
pan_gene_19110,0,0,0,0,0,0,0,0,0,0,0,0,0.0489166,0,0,0,0,0,0,0
pan_gene_19111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_19112,19.4345,25.9604,22.3223,16.5084,23.1561,23.4172,20.9376,20.9288,17.6913,16.0612,16.8921,13.2477,15.502,17.9088,19.2666,17.771,15.3444,15.6715,16.1387,20.4348
pan_gene_19113,47.765,61.1824,65.4476,56.3224,77.9693,95.6527,NA,42.4086,NA,NA,54.6246,63.6285,NA,71.2457,43.3438,48.8154,97.7731,86.8046,96.4596,122.142
pan_gene_19114,119.662,100.72,92.5928,88.212,106.565,89.5789,104.11,96.1915,100.725,107.063,108.622,104.235,94.6987,90.6774,106.441,79.7428,NA,97.0909,92.1867,105.923
pan_gene_19115,33.1686,30.6854,22.7286,26.3612,26.445,21.1212,28.1635,30.4738,24.923,18.4069,28.6593,24.619,18.4061,22.6677,NA,20.2991,26.9082,24.7942,21.6747,27.5427
pan_gene_19116,1.03892,2.193,1.61029,2.56333,0.303684,0.678967,1.87903,1.56271,1.23093,1.03108,3.35494,4.87538,2.35513,1.5881,2.42698,1.92797,1.46655,0.385669,0.571077,0.452274
pan_gene_19118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_19119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_19120,188.1,31.8086,NA,425.84,NA,285.652,170.483,NA,NA,401.664,209.649,NA,NA,NA,549.562,NA,NA,592.708,NA,117.995
pan_gene_19121,5.05135,5.5581,6.13223,3.87297,5.52799,4.64037,5.10113,5.99304,3.24556,4.96599,4.6413,4.71148,5.03507,NA,4.61296,5.0663,5.12098,3.45298,4.32467,4.34906
pan_gene_19122,853.261,672.143,527.084,750.125,876.382,482.355,917.954,815.569,883.778,520.523,711.304,570.215,480.107,588.568,733.435,542.971,558.421,687.746,677.829,800.914
pan_gene_19123,17.5331,53.2667,108.646,83.3368,45.1277,69.8941,84.2761,97.2791,67.9749,86.0718,43.696,39.5084,28.8529,70.3027,56.1185,NA,32.6202,75.5513,63.5053,NA
pan_gene_19124,NA,NA,8.39724,7.81649,10.5823,10.7657,7.77547,10.0155,7.53943,7.81691,8.95195,7.48157,7.4793,NA,7.06578,7.50634,NA,7.36412,NA,7.19453
pan_gene_19125,9.39783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_19126,3.58263,5.70817,10.4956,3.02575,NA,6.97643,4.5529,NA,NA,7.64431,3.57049,3.63474,5.63267,NA,5.9003,NA,NA,5.91272,2.54431,2.31058
