,B73,Tzi8,Ky21,Ms71,Oh7B,Oh43,M37W,Mo18W,NC350,HP301,Il14H,P39,CML69,Ki11,CML322,Ki3,CML103,Tx303,NC358,B97
pan_gene_141,NA,0,0,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,NA,NA,0
pan_gene_142,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_146,188.058,188.058,113.966,97.5725,143.727,132.026,118.433,129.076,166.123,156.507,95.4433,120.2,132.244,126.675,132.526,157.434,96.6924,148.108,114.326,125.536
pan_gene_147,NA,3.28761,NA,4.68239,6.46562,NA,NA,NA,NA,3.00564,NA,NA,NA,NA,NA,NA,5.91281,6.53608,NA,NA
pan_gene_148,NA,1.95455,NA,NA,2.41077,1.76923,NA,NA,NA,2.22738,NA,NA,0.960239,0.570864,NA,2.14452,NA,NA,NA,0
pan_gene_149,NA,NA,NA,NA,NA,NA,NA,0.988948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_150,83.217,83.217,66.5457,63.6422,74.691,38.3454,NA,79.4762,75.58,72.2785,102.825,53.1591,91.2868,91.2891,62.5785,111.372,105.281,59.0732,70.6916,111.577
pan_gene_151,3.84215,3.84215,3.37862,2.76082,3.62454,3.23774,3.14289,3.23286,4.03553,3.47575,2.74153,3.9807,3.70975,3.38913,3.47354,4.20177,5.35422,3.08518,2.79023,3.09516
pan_gene_152,NA,1.61458,2.82029,11.7491,3.67274,8.4867,3.72502,1.68229,2.36851,3.73684,4.40617,6.3823,4.67947,3.31101,1.67798,1.18621,4.37395,6.38698,27.3174,13.4291
pan_gene_153,1.01209,1.01209,71.2397,89.0879,75.3693,68.3329,NA,39.1991,NA,0.0867033,6.00422,50.7326,NA,NA,NA,27.5911,1.63229,NA,NA,0.644117
