,pan,B73,Tzi8,Ky21,M162W,Ms71,Oh7B,Oh43,M37W,Mo18W,NC350,HP301,Il14H,P39,CML52,CML69,Ki11,CML228,CML247,CML277,CML322,CML333,Ki3,CML103,Tx303,NC358,B97
24580,pan_gene_7729,0.3378,0,0.54,0.001,0.595,0.3102,0.005,0.0113,0.0058,0.0565,0.0236,0.004,0.0137,7e-04,0.0065,0.0199,0.5846,0.0201,0.5414,0.0045,0.0129,0.3977,0.3007,0.4013,0.0195,0.3853
24661,pan_gene_77843,NA,NA,NA,NA,NA,0.4206,NA,NA,NA,0.0039,NA,NA,NA,NA,NA,0.4155,0.5186,NA,NA,NA,NA,NA,NA,NA,0.4426,0.0176
24690,pan_gene_78051,NA,NA,NA,NA,0.2747,NA,NA,NA,NA,NA,0.7935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24752,pan_gene_78414,NA,NA,NA,NA,0.7941,NA,NA,NA,NA,0.7372,NA,0.6601,NA,NA,0.7333,NA,NA,NA,NA,0.6651,0.5911,NA,NA,NA,NA,0.6667
24791,pan_gene_7860,0.2316,0.0038,0.2342,0.037,NA,0.0071,NA,NA,0.1168,0.0136,0.2592,0.029,0.2583,0.0041,0.0183,0.2868,NA,0.1823,0.2843,0.105,0.3366,0.2959,0.3064,0.289,NA,0.2419
24800,pan_gene_7866,NA,NA,0.0027,0.2788,0.002,NA,0.0035,NA,NA,NA,NA,NA,NA,0.0028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24827,pan_gene_78821,NA,NA,NA,NA,0.627,NA,NA,0.7232,NA,0.0087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
24836,pan_gene_7890,0.0113,0.0022,0.0057,0.0133,0.0044,NA,0.0085,0.0245,0.0158,0.005,0.0126,0.021,0.0254,0.0017,0.0083,0.0123,0.008,0.0082,0.0046,0.2125,0.0045,0.1932,0.0114,0.0042,0.0089,0.0118
24862,pan_gene_79079,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4293,NA,NA,NA,NA,NA
24875,pan_gene_7917,0.0044,0.0022,5e-04,5e-04,0.0012,0.0022,3e-04,5e-04,0,6e-04,0.0047,0,0.0076,0.2052,5e-04,0.0016,NA,0.0011,0.0037,0.0032,0.0051,0.0084,0.0023,0.0047,0.0011,0.0044
24937,pan_gene_79578,NA,NA,NA,NA,0.7729,0.0049,NA,NA,0.6593,NA,NA,NA,NA,0.7078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1776
24979,pan_gene_7989,NA,0,0.0022,0,0,0,0.0079,0.548,NA,0.0073,NA,0.0029,NA,0,NA,NA,0.0051,0,0,0,0,0,NA,0.0019,0.0607,0.0293
24990,pan_gene_7994,0.0017,0.0129,0.0163,0,0.0087,0.0055,0.0014,0,0.0068,0.0049,0.0019,0.0085,0,NA,NA,0.0018,0.0073,0.0073,0.0028,0.0087,0.0127,0.0111,0.003,0.5909,0,0.0056
25050,pan_gene_8033,0.0276,0.0054,0.0068,0.0062,0.0087,NA,0.0033,0.0104,0.0083,0.0224,0.0082,0.157,0.0317,0.0081,0.0051,0.0284,0.1616,0.0043,0.0031,0.0154,0.0032,0.2163,0.0046,0.0022,0.0183,0.0025
25072,pan_gene_80552,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6173,NA,NA,NA,0.712,NA,NA,0.9029,NA,NA,NA,0.6604,0.7268,NA,NA,0.568,NA
25093,pan_gene_8068,NA,NA,NA,0.0442,NA,0.0075,0.0576,NA,0.034,0.0327,0.0036,0.6793,NA,NA,NA,NA,NA,0,NA,0.0287,NA,NA,NA,NA,0.0046,0.003
25203,pan_gene_8145,0.7289,0.6651,0.6144,NA,NA,NA,0.8131,NA,0.7301,NA,0.7462,0.7106,0.5937,0.7008,NA,NA,0.7774,NA,0.7104,NA,NA,NA,NA,NA,NA,NA
25272,pan_gene_81923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0024,NA,NA,NA,NA,NA,NA,NA,0.7283,0.8083,NA,NA,NA,NA
